,image_num,clear_val,attacked_val
0,0.0,-1.228826642036438,-1.274190902709961
1,1.0,-2.0149078369140625,-2.0122745037078857
2,2.0,-1.822170615196228,-1.8098331689834595
3,3.0,-1.441712498664856,-1.436981201171875
4,4.0,-2.1257214546203613,-2.136543035507202
5,5.0,-1.6476144790649414,-1.4791984558105469
6,6.0,-1.890515685081482,-1.8501033782958984
7,7.0,-1.5633292198181152,-1.5611515045166016
8,8.0,-1.7947845458984375,-1.713150978088379
9,9.0,-1.5529829263687134,-1.4245983362197876
10,10.0,-2.316474676132202,-2.2562899589538574
11,11.0,-0.9951148629188538,-0.9976446032524109
12,12.0,-2.8777029514312744,-2.8397481441497803
13,13.0,-1.2809656858444214,-1.2736740112304688
14,14.0,-1.4422768354415894,-1.398712158203125
15,15.0,-1.688095211982727,-1.564874529838562
16,16.0,-3.2967898845672607,-3.259767770767212
17,17.0,-1.670991063117981,-1.627457618713379
18,18.0,-1.3834377527236938,-1.3878496885299683
19,19.0,-2.2743775844573975,-2.277106523513794
20,20.0,-1.8697824478149414,-1.8823210000991821
21,21.0,-1.69845449924469,-1.673843264579773
22,22.0,-1.2457749843597412,-1.1706424951553345
23,23.0,-1.7605701684951782,-1.646148681640625
24,24.0,-1.8505730628967285,-1.8414536714553833
25,25.0,-0.11560869216918945,-0.11215344071388245
26,26.0,-3.5075504779815674,-3.4992685317993164
27,27.0,-1.86739981174469,-1.8595752716064453
28,28.0,-2.5909712314605713,-2.599421501159668
29,29.0,-1.3313735723495483,-1.2846568822860718
30,30.0,-1.9681555032730103,-1.9563970565795898
31,31.0,-1.9658352136611938,-1.8250213861465454
32,32.0,-2.68359375,-2.491069793701172
33,33.0,-1.6912364959716797,-1.567654013633728
34,34.0,-2.8850395679473877,-2.8950626850128174
35,35.0,-2.443166494369507,-2.400636911392212
36,36.0,-2.3591787815093994,-2.3793280124664307
37,37.0,-2.128862142562866,-2.0589942932128906
38,38.0,-2.372227430343628,-2.1107704639434814
39,39.0,-1.219969630241394,-1.2019789218902588
40,40.0,-1.3035023212432861,-1.2325459718704224
41,41.0,-2.8156166076660156,-2.699183225631714
42,42.0,-1.0569891929626465,-0.9218780994415283
43,43.0,-2.2674505710601807,-2.22360897064209
44,44.0,-1.6863136291503906,-1.6763719320297241
45,45.0,-2.5383665561676025,-2.5029876232147217
46,46.0,-1.3762873411178589,-1.3158024549484253
47,47.0,-2.351426362991333,-2.3530092239379883
48,48.0,-1.0896204710006714,-1.091521978378296
49,49.0,-2.438234567642212,-2.427427291870117
50,50.0,-1.7122150659561157,-1.6966533660888672
51,51.0,-1.252458095550537,-1.2287553548812866
52,52.0,-2.3453176021575928,-2.2585294246673584
53,53.0,-2.6254775524139404,-2.4400980472564697
54,54.0,-2.459533452987671,-2.3885324001312256
55,55.0,-1.2347444295883179,-1.2357748746871948
56,56.0,-2.3140604496002197,-2.2960045337677
57,57.0,-1.859673023223877,-1.8362358808517456
58,58.0,-2.248305082321167,-2.1970016956329346
59,59.0,-0.9579411149024963,-0.8588857650756836
60,60.0,-1.7941746711730957,-1.785853385925293
61,61.0,-2.058173418045044,-2.0079851150512695
62,62.0,-2.022076368331909,-1.9106731414794922
63,63.0,-1.4965081214904785,-1.4510221481323242
64,64.0,-2.1616108417510986,-2.1639316082000732
65,65.0,-1.090789794921875,-1.064524531364441
66,66.0,-2.081434965133667,-2.0444746017456055
67,67.0,-3.0196502208709717,-2.9137184619903564
68,68.0,-1.2945774793624878,-1.2393313646316528
69,69.0,-2.6628997325897217,-2.6225380897521973
70,70.0,-1.4361532926559448,-1.4258813858032227
71,71.0,-1.980629801750183,-1.66107177734375
72,72.0,-1.907011866569519,-1.8420366048812866
73,73.0,-1.8929672241210938,-1.8606147766113281
74,74.0,-2.6015594005584717,-2.6168596744537354
75,75.0,-2.7509660720825195,-2.6994469165802
76,76.0,-1.4316596984863281,-1.4116302728652954
77,77.0,-3.3253633975982666,-3.2659919261932373
78,78.0,-1.9095077514648438,-1.8706954717636108
79,79.0,-2.6061737537384033,-2.5649163722991943
80,80.0,-1.7659918069839478,-1.753278374671936
81,81.0,-1.8228670358657837,-1.5394783020019531
82,82.0,-2.5853872299194336,-2.559760093688965
83,83.0,-1.845442771911621,-1.7905179262161255
84,84.0,-2.0902836322784424,-2.060786485671997
85,85.0,-1.6297470331192017,-1.6119617223739624
86,86.0,-1.5699456930160522,-1.5411367416381836
87,87.0,-2.792994260787964,-2.722108840942383
88,88.0,-2.0435407161712646,-1.8748226165771484
89,89.0,-1.267201542854309,-1.2588229179382324
90,90.0,-0.8490976691246033,-0.792750358581543
91,91.0,-2.2563893795013428,-2.2269442081451416
92,92.0,-3.22587513923645,-2.883373975753784
93,93.0,-1.7306996583938599,-1.6244754791259766
94,94.0,-1.9778302907943726,-1.9732784032821655
95,95.0,-3.4355220794677734,-3.428501844406128
96,96.0,-1.4923540353775024,-1.4711394309997559
97,97.0,-1.7766494750976562,-1.7690130472183228
98,98.0,-1.3854889869689941,-1.3194537162780762
99,99.0,-2.691004991531372,-2.6592648029327393
