,arch,activation,degree,eps 2,eps 4,eps 6,eps 8,eps 10,SROCC
0,resnet34,silu(1-iter),10^5,783.279724419117,1563.9590099453926,2342.464402318001,3118.322789669037,3891.816362738609,0.9109630963096308
1,resnet34,relu(1-iter),10^5,783.2173258066177,1563.6410564184189,2341.7897522449493,3117.240220308304,3890.296071767807,0.9175997599759976
2,resnet50,relu(1-iter),10^5,783.2514122128487,1563.7654811143875,2341.969683766365,3117.523342370987,3890.707716345787,0.9351455145514552
3,wideresnet50,relu(1-iter),10^5,783.2509465515614,1563.7407079339027,2341.955155134201,3117.496706545353,3890.667483210564,0.9417941794179416
4,resnet50,silu(noresize_10-iter),10^5,772.0363326370716,1541.804522275925,2297.631278634072,3013.9075592160225,3723.054379224777,0.5034503450345034
5,resnet50,relu(noresize_10-iter),10^5,768.3801930397749,1526.8728137016296,2262.06686347723,2959.7261920571327,3658.52527320385,0.5712571257125713
6,resnet34,silu(noresize_10-iter),10^5,775.1385681331158,1549.0341000258925,2308.7361827492714,3041.474148631096,3763.362020254135,0.6521812181218121
7,resnet50,silu(noresize_1-iter),10^5,779.0119852870703,1557.0830553770063,2326.5784606337547,3078.8499861955643,3826.446831226349,0.6865166516651665
8,resnet34,relu(noresize_10-iter),10^5,768.9935155212879,1530.9973619878292,2270.12000977993,2971.9777405262,3682.7705800533295,0.5482868286828683
9,resnet34,relu(noresize_1-iter),10^5,781.9891907274723,1561.3993629813194,2336.5413770079613,3108.508139848709,3875.92613697052,0.5696369636963695
10,resnet34,relu,10^5,782.1027189493179,1561.4818781614304,2336.4542052149773,3108.2747504115105,3876.2155920267105,0.9989558955895589
